text,label
"En mi opinión es populismo, pues no sirve de mucho que él ahorre un par de miles de pesos al viajar en vuelo comercial mientras permite que gente nombrada por él derroche millones en publicidad, botellas y culto a su personalidad propia.",
"Populismo, a el nadie le va a criticar que gaste por que es rico, lo veo muy inseguro un país dándole un duro golpe al  narco tráfico, donde ha caído gente hasta del mismo gobierno!!! Austeridad solo el presi y los funcionarios gastando como que no hay mañana🤨",
"@jose_gonzalez0090 Es una figura con una vida expuesta, siempre vamos a criticar 😂 por que podemos, por que cada cabeza es un mundo y cada quien es libre de pensar y opinar 😁",
"Exactamente @mariselamendezm. Un presidente que aunque no en todo momento ha tomado las decisiones correctas, pero muy humano y sencillo. Miren llevando su maleta de mano para abordar su vuelo. Tenemos que ver las cosas positivas. El está tratando de hacer un buen trabajo. Y los de la oposición no soportan eso.",
"Mi corazon mira las cosas por el lado positivo, has un cambio de lo negativo a lo positivo, no esperes cosas negativas por favor🙌😍😂😂❤️ amor y paz.",
Para el dominicano si hace es malo y si no hace también🤦🏽‍♀️,
"Eso es estrategia de un  verdadero líder, enseñándoles a sus funcionarios con el ejemplo.  Esos señores tienen con que pagarse de su propio bolsillo un vuelo privado.  Y se sacrifican para dar un ejemplo de austeridad  en el gobierno. 👏👏👏.",
Muy bien  sin aparatajes. 👏👏,
Que son humilde y gente del pueblo,
Política nada más...,
Peor que se hubiera ido con una docena de lambones en jet privado y de igual modo lo criticarían porque algunos medios y el poder político pasado tienen un gran persecución en su contra,
"Los detractores en las redes diran que es populismo pero cuando Leonel Fernández, Hipólito Megia y Danilo Medina viajaban en aviones privados donde se gastaban millones nadie decía nada, pero si Luis inició a viajar en un vuelo comercial debe continuar por haciéndolo durante su gobierno y obligar a eso funcionarios que hagan lo mismo",
No lo veo mal. Ojala muchos copien de su ejemplo.,positivo
@luisabinader lo que es un habilidoso esta actuando como un simple mortal y lo felicito @elantinoti ataca a milagro tanto que ella atacaba a los demás ahora es mudaaaa xq esta donde pica el peje jajajajjaja,
"Populismo, el hace algo y los miles de funcionarios de su cuenta.",
"Es fácil, muy fácil….Millonario de Cuna, nunca ha viajado en clase económica y ahora que es presidente, que tiene que tener una seguridad especial,si lo hace…¿como se llama la obra? POPULISMO.",
"Demostrando que el poder no los hace mejor que el ciudadano común. Que son personas igual que nosotros, que no se le va un pedazo sino viajan en primera clase. Por qué es que cuesta tanto creer que en verdad son personas humildes???",
"El presidente puede viajar donde el quiera,antes y ahora.El dinero nunca ha sido su problema. Pero es difícil de entender cuándo un síndico que fue un empleado de tienda viaja en avión ✈️ privado.",
"Un ejemplo de humildad y ahora quieren atacarlo, no aceptan que este presidente no es como ellos, lo felicito señor presidente por este gran ejemplo 👏👏",
Si Yanalan se iba a ir por Spirit ellos pueden viajar en clase económica por Delta sin ningún problema 😂,
"@langosanchez18 yo sé, es relajando que estoy😂",
Gente bien!! 👏 pero su seguridad como primer mandatario y la de su esposa debe ser conservada!! Les aplaudo!! 👏👏 Dios los Bendiga!!,
"Populismo, tiene demasiadas botellas en su gobierno y le está haciendo caso omiso",
Cómo quiera critican 🧐,
Sólo esta copiando lo que hacen otros presidentes !,
Para mí está más que confirmado que será unos de los. Mejores presidente de la historia ❤️🙏 en el gobierno de Danilo hasta margot para comprar los sombreros era en jet privado 😂 esa bárbara ni que fuera popi ella ajja,
Autenticidad,
Dios mío pero dejen pasar una de por Dios 😒😒😒… Ese tipo de acciones por las razones que fueren yo particularmente las veo excelentes. Y es más ojalá yo haber compartido ese vuelo 😂😂😂… plis suelten un chin 🤦🏻‍♀️,
"Mi opinión es que son las mismas personas que trabajan con él grabándolo y saludándolo normal, por que en los tiempos que estamos hasta en la puerta de tu casa te matan y te atracan! #populismo💪🏽",
"Sea cual sea la intension,está bien el gesto,pórque ningún presidente ha hecho eso,ya sea por populismo o austeridad. Este por lo menos tiene la buena intension.",
Es que esas volas en helicóptero y avionetas de sus amigos Narcos les han salido caras 😂😂😂😂,
"Este gobierno es peor que el del pld, de que cambio es que me están hablando? 😠😠😠😠",
Cuál es el problema que la llave a un vuelo comercial o sea es humilde de corazón puede ser muy rico y todo pero él también tiene derecho,
Por que el MILITAR anda con tanta mierda arriba todas esas fuck medallas y esas porquerias.,
Ambas. 🙌,
Eso esta bien caramba y quería probar lo que era un vuelo comercial,
"Estan escuchando mas al acesor de popularidad, que al mismo de seguridad.... Dios guarde ese hombre !",
Lo que sea cualquiera de las dos al fin la@jente siempre habla,
Como hay usteridad cuando en los ministerio se compran yipeta  7 y 6 millones de peso como hay usteridad si donde vive el presiden  afartaron todos la zona y uste mira y mira el otro lado y ves mata hambre calle dañada y y basura matando y este pueblo en los mismo en cual se robo más es un sistema que hay 🔥🔥🔥 todos sin colores,
"Eso se llama ejemplo , que otros quieran ver lo como populimos es otra cosa , de todas maneras si se va en burro como quiera hablarán😂.",
Excelente.,
Cómo jugar con la mente del pueblo,
Chequea también el tik tok que hizo nuestro presidente 😁,
@arlettejoubert  esto de manejar la gente es complejo,
"@arlettejoubert Así es,es mucho lo que tenemos que educarnos y ver si logramos una sociedad más justa para todos.👏👏",
Si fuera austeridad no existieran tantas botellas.,
"Los presidentes son ciudadanos comunes con responsabilidades diferentes….en un país con una crisis económica y de salud, estas acciones deberían ser más comunes. Ahora bien, el despilfarro que se hizo en la rendición de cuenta versus esta acción es como un poco incongruente el mensaje.",
"Lo veo;muy,bien,que,porte,como;un Dominicanos;maa,nosotros;somos;una,,isla,pobre👏👏👏👏👏",
Nuestro presidente cada día nos sorprende más con su actitud y personalidad de empatía y humildad .❤️,
"A todo lo que dicen que es populismo busque la definición y después me dice si es malo, xk cuando los residentes se creen monarcas también los critican, para nosotros los dominicanos nunca hay nada bn",
"@denisrey11 en parte de la definición dice eso, y que es peor un presidente que priva en monarca o uno que escuche el puede aunque sea demagogia según tu",
"Puede ser populismo, como muchos dicen, pero es una forma de beneficiar a nuestro gasto público y si ser populista nos ayudará a mejorar en hora buena",
"Austeridad, porque si el país no cuenta con un avión privado lo lógico sería viajar en vuelos comerciales",
Un tíguere bacano viajando en línea comercial 👏,
Todo para llamar la atención y obviar otros temas de importancia 😂😂😂😂😂😂😂😂,
Entiendo que un poco de ambas. El,
Esta mas seguro nuestro presidente en una aerolínea comercial americana que en uno privado,
Mierd$$% pati .. las cosas buenas se aplauden y no se puede joder tanto,
Cualquier de las dos descripciones son positivas,
Y cuando tu amiga Margarita viajaba en primera o en avion privado tu nunca hiciste encuesta. Por que ahora?,
Populismo o austeridad la verdad que nunca había pasado y me da mucha emoción verlo ! 👏👏,
"sea lo lo que sea esta bien , y estamos cambiando!",
"Lo veo como una valentía ,por es muy arriesgado ...",
"Sea PATO O GALLARETA lo que si es que pocos puede hacer esto y no morir en el intento... Entre abucheos o gritos de ladrones, corruptos tomatazos galletas etc.... La Tayota de  Sergio Carlo quieralo usted o no.. Tiene más gusto en el pieblo que cualquier o si no demuestramelo.. 🙌 Abinaderch es un Pro independendientemente de cualquier Pelefustan q este en su entorno.",
Que ganas de criticarlo todo si hubiera alquilado un jet privado tambien lo critican con el dominicano no hay quien pueda🤦‍♂️,
"Muy buen ejemplo de humildad es lo que el tiene , me encanta mi presidente",
Eso un hecho de 👏👏 lo para mi es humildad y no la arrogancia que tenía el vikingo y el súper leon el calvo 👨‍🦲 ese,
Austeridad 🔥 este señor lo único que provoca es orgullo,
Que falacia 😂😂😂😂😂😂,
Con algarabía lo reciben🙌🙌🙌🙌🙌 cero abucheos diferente a varios años atrás cuando gobernaban los Dioses,
Skiner eso es populismo al más alto nivel si estuviéramos en austeridad no se gasta esa millonada en rendiciones de cuentas 🙌 el pasado 16/8,
El lo dijo desde el principio de su campaña,
Muy bien por el,
"Bueno, en mi opinión,sea por populismo o por austeridad, NINGUN presidente debe llegar a exponerse tanto. La primera figura de cualquier país del mundo DEBE respetar los protocolos de seguridad que rigen sus funciones. Si ese es un vuelo comercial regular,  a mi me parece que esto es un error que no debería repetirse.",
"Muy bien, austeridad",
Excelente porque todo eso es el pueblo dominicano que tiene que pagar eso viaje para mi es una forma de economizar no como otro presidente anterior que se creían diose pero tenemos un presidente humilde,
"Eso ni es populismo ni austeridad,es  solamente que el entiede que es un servidor publico con el mas alto nivel , pero servidor .",
"Austeridad, populismo, humildad, ayante y bulto, pose, de todas formas sale ganando el país y el como político. Debe ser barato y eso refleja una economía. Y la gente va creer que es humilde GANAR - GANAR",
"En este pais atrasado todo es malo! Yo lo veo desde otra perspectiva, pero claro no todos estan preparados para esa conversación",
Muy bien por el presidente!! 👏👏👏😂,
Sergio pero tú todo lo críticas🔥🔥🔥 pobre Gaby 😁😁😁😁,
Yo lo veo muy bien 😃 un buen ejemplo a los que llegan descanso y luego viajan privado,
Políticamente correcto!!,
Espero que no se haya ido en Jetblue para que no bajen del avión,
"Austeridad, no soy de ningun partido pero todo lo que hace un presidente lo critican x mal",positivo
🔥Mi presidente es un verde duélale a quien le duela,
"Austeridad deja tu chisme , llegan juntos los de primera y tercera clase , si se caen son todos eh lo mismo todo , primera más atenciones, pero se seguro q en clase económica tendrá las mismas atenciones he dicho. #Antinoti",
Excelente .. elantinoti.. Lo veo muy jovial,
"Coño Dios debe hacer algo con la humanidad innecesaria,,,ese presidente viene dando ejemplo de humildad, desde el primer día que dijo no me digan licenciado, cero aparataje, no cobraré sueldo....y los malditos aún siguen asarando.",
@ifritwater yo lo vi. Que eres un peledeista😂😂😂😂,
@jeimyvarga por dinero no es..,
"#antinoticonsergiocarlos @elantinoti no te vuelvas un cabada que critica al millonario,  a nuestro presidente le luce todo, tiene cuarto por pipa. Recuerda tu gente del PLD esos llegaron descalsos y ni loco viajaban en comercial..y siempre con una larrrrgaaaaa comitiva de chulos,chulas,panas,lambones,bocinas y demás yerbas.😢😢",
👏👏👏👏👏👏👏@luisabinader bien hecho mi presidente 👏👏👏👏,
"Entiendo que es una decisión del Presidente para dar ejemplo de austeridad y respeto, pero entiendo que la seguridad de un mandatario no puede exponerse así.",
"Un presidente sencillo, hijo del pueblo.",
🙌👏👏,
Muy bien 👏,
"Populismo, si fuera austeridad no estarían tan abultada las nóminas en los ministerios",
Ejemplo positivo de compromiso genuino‼️🤗🤗🤗💪🏻💪🏻💪🏻💪🏻,
Cuando viene a ver esos que iban en ese vuelo trabajan todos pal presidente! No había nadie extrańo!,
"Lo primero que hay que saber es que ese vuelo se paga con los impuesto que paga el pueblo.. porende está bien que vuele de modo austero. Si es con el dinero de el,  que vuele hasta en una nave si el quiere! 👏",
Bien!  Que copien todos los funcionarios también!,
Que la vaina es joder y criticar por todo y por nada🤷🏻‍♀️🤷🏻‍♀️,
"@angelacalderonr así es, he visto a muchos quejarse y son los primeros que tiran basura en la calle, no respetan el tránsito y por ahí María se va, el cambio comienza con uno mismo.",
"Populismo? No creo. Es un presidente que sabe lo que es no gastar el dinero del pueblo. Ojalá los ministros, senadores, diputados y demás actuarán igual, mientras tanto seguiré soñando.",
"Se podria ver como austeridad pero al final, POPULISMO!!",negativo
Eso esta Bien !! Mis Respetos !,
"Eso como quiera que sea es criticado por todo el  que tenga una oportunidad pa criticar, si el lo hiciera privado le sale su crítica ósea con este pueblo no se puede!",
@lodominicano lo hizo desde que empezo😂 este no,
"Cuando sigan con la pelicula de las operaci9nes camaron,falcon,lombris y nos metan la Reforma fiscal callaito ahi vamos a despertar jajajjaaj esta poniendo el agua JERVER 😂😂😂😂😂 PA PELARNOS",
"La política compay, la política 🤣",
Populismo barato…. Y los protocolos del representante de una nacion ya no se respetan?? 🤔,negativo
"En mi opinión..., el Presidente Luis Abinader.., que por razones de ley es diferente entre sus iguales, debió ir en Primera clase..., esta bien que sea un vuelo comercial, porque no tenemos un avión con nuestra bandera..., pero hasta por manejos de seguridad y aprovechamiento del vuelo... debió ir un poco más cómodo..., porque El no es , en este caso, igual a los demás...!!!!!",
Me encanta que nuestro Presidente actúa como predica! 👏👏👏👏👏👏,
Populismo !,negativo
"Como quiera es malo! Si usáramos la lengua para edificar, otra sería la historia.",
"Populismo puro y barato, del malo malísimo",negativo
@michelleflaz en el clavo,
@elantinoti Populismo!! Poner en riesgo su seguridad y la de los pasajeros!!,negativo
Muy bien @luisabinader,
Que yo creo que es presidente más popular que henos tenido los Dominicanos.por lo tanto hay que darle 4 años más...,
"Y tu, como lo harías si fueras el Presidente?",
"Tenemos un Presidente sencillo, le gusta el calor de su Pueblo.",
@alexandrahquez asi es eso es Liderazgo predicar con el ejemplo!,
Que hay que aplaudirlo! Lo que no hay que aplaudir eran esos monos del PLD privando en finos! Que de ser unos chopos andaban privando en la crema inata de la nobleza...,
El que llama populismo a esto no conoce la verdadera definición de ello.,
Si se va en privado dicen “ con el dinero del pueblo” como quiera eh malo 😂,positivo
Cuenta la leyenda que ese vuelo no se atrasó ni medio segundo.,
"Populismo.  Y ojo soy PRM, pero estoy clara que la austeridad debe darse en todos los ministerios y funcionarios. Porque él como presidente la presuma no gana nada pues permite el derroche en sus funcionarios y ministerios que dirigen.",
Populismo puro,
"Definitivamente austeridad, el entiende que es lo prudente",
Muestra de sencillez. En Europa los reyes conducen sus vehículos y viajan en vuelos comerciales.,
Eso es populismo,
"En un momento que el país está pasando  por tantas necesidades , la criminalidad arropándonos  y el señor presidente desvía toda  la atención de un país viajando en un vuelo comercial  si no es populismo ? Como se le podría llamar ??",
"Cualquiera que sea su intension, está bien👏🏻👏🏻👏🏻👏🏻Bravo por el Señor Presidente👏🏻👏🏻👏🏻👏🏻👏🏻",
Humildad y mercadeo 😂,
Fue su elección. Cualquier boleto es más barato que alquilar un avión.,
Austeridad ❤️,
El primero que lo veo. Sin esa arrogancia del poder. Piense lo que sea pero eso ta bien 👍 🇩🇴🇩🇴,
"Pero la gente si es criticona 🤦‍♀️ @elantinoti si lo hubieran visto en 1a. Clase entonces dirían:""ese es el cambio? Claro viajando con lujos con los chelitos del pueblo y bla bla bla"", ahora lo ven en clase turista normalito a otro ser humano entonces es ""populismo""? De verdad que tener contenta a la gente no se puede...sobre todo los que solo gastan oxigeno para criticar",
"Yo diria que normalidad...seguro de si mismo, sin complejos 👏👏",
Lo que sea pero contrario a los gatos pasados le gritan Ladron y a el aplausos como la ves,
Como quiera hablan,
"De nada sirve que viajen en clase economica y gasten millones en publicidad cada mes 🤦, pero aqui nos entretenemos con cualquier cosa 😂",
"No le va a alquilar un avión privado al Penco, no vaya a ser cosa que….",
La gente es mas asorada,
"Karina ya el pte le respondio a los imaginadores , tituaaaaa",
"Para algunos dañinos es populismo, pero para el pueblo dominicano es conciencia, igualdad, humildad y sobre todo austeridad.  Excelente señor presidente. 👏👏👏👏👏👏",
Muy  Bien bien por el presidente. 👏👏👏👏🙌🙌🙌🙌,
Dando ejemplo con acciones y nada más 😍😍😍😍😍,
"Josiando su reeleccion a toda costa...aun buscando la aprobacion del pueblo. Al final del dia, igual que todos los politicos",
"Se le admira el que  quiera sacrificarse para reducir gastos, pero creo qué él es el que menos gasta contrario a todos esos funcionarios corruptos viajando en jet privado. Hay mucha tela por dónde cortar aún.",
Hahahha tann lleno de oreo los peledistas dejen su envidia y aprendan de papa humildad 😂,
"Yo diría que es más populismo que austeridad, no veo la necesidad de demostrar austeridad subiendo a un vuelo comercial, donde perfectamente se puede ser austero tomando otro tipo de medidas desde el gobierno, quitar subsidios por ej...",
😮,
Pero cómo quiera es malo!!! Yo lo veo muy bien,positivo
"Quizás haya mucha gente que quiera un Air Force One para la RD sin ni siquiera imaginarse el costo que eso conlleva. Ojalá y presidentes anteriores hicieran lo mismo que hace el, el dinero que se hubiera ahorrado RD fuera exhorbitante. Bien por el 👏🏻👏🏻👏🏻👏🏻",
ese es el y siempre ha sido asi,
"Fuera en burro o un jet privado, como quiera, los dolidos sufren y critican.",
👏👏👏👏para nuestro presidente Luis abinader,
El es así,
@elantinoti hermano cree usted que los antiguos MP puedan mostrar 1 expediente porlomenos parecido  a la al mundo animal que tienen en este,
"No puede pelear durante la luna de miel, apenas tiene un año en el palacio, y en verdad este gobierno no se puede jugar aún un años en estado de emergencia. esta como vehículo  cero kilómetros aún no se sabe asta cuánto sube el millero",
Austeridad hasta que me demueatren lo contrario. 👏,
Haciendo los recortes 💵 donde no es… No tamo en na. Pero vamos a aplaudirle 👏🏾 pa no ser antichevere.,
"Para saber si hay una verdadera austeridad, ver el costo del viaje del presi. Pero muy bien que empleé ese tipo de medidas para bajar gastos🙌",
💪🏻💪🏻💪🏻💪🏻💪🏻,
Solo espero que no sea JetBlue 😂😂😂😂,
